GESCAL17;WAYTYPE;WAYNAME;PROVINCEID;PROVINCE;TOWN;POSTALCODE;NUM;ADDRESS
13000410017700005;Calle;Monjas;13;CIUDAD REAL;Membrilla;13230;5;Calle Monjas, Membrilla
13000410050200053;Calle;Mayor;13;CIUDAD REAL;Membrilla;13230;53;Calle Mayor, Membrilla
13000410092100035;Calle;Vega De La;13;CIUDAD REAL;Membrilla;13230;35;Calle Vega De La, Membrilla
13000410095700016;Calle;Iglesia;13;CIUDAD REAL;Membrilla;13230;16;Calle Iglesia, Membrilla
16000190114600001;Calle;Pelayo;16;CUENCA;Las Pedroñeras;16660;1;Calle Pelayo, Las Pedroñeras
45000410001700035;Avenida;Reina Sofia;45;TOLEDO;Madridejos;45710;35;Avenida Reina Sofia, Madridejos
45000410245700004;Calle;Teniente Infante;45;TOLEDO;Madridejos;45710;4;Calle Teniente Infante, Madridejos
45000410037400012;Calle;Extremadura;45;TOLEDO;Madridejos;45710;12;Calle Extremadura, Madridejos
45000410252700029;Callejón;Pando;45;TOLEDO;Madridejos;45710;29;Callejón Pando, Madridejos
45000410087300077;Calle;Clavel;45;TOLEDO;Madridejos;45710;77;Calle Clavel, Madridejos
45000410091700031;Calle;Molino;45;TOLEDO;Madridejos;45710;31;Calle Molino, Madridejos
45000410000100005;Calle;Fray Benito Romero;45;TOLEDO;Madridejos;45710;5;Calle Fray Benito Romero, Madridejos
45000410249000038;Calle;Roma;45;TOLEDO;Madridejos;45710;38;Calle Roma, Madridejos
45000690373700020;Calle;Santa Gema;45;TOLEDO;Quintanar de la Orden;45800;20;Calle Santa Gema, Quintanar de la Orden
45000690250200034;Calle;Paz;45;TOLEDO;Quintanar de la Orden;45800;34;Calle Paz, Quintanar de la Orden
45000690250200042;Calle;Paz;45;TOLEDO;Quintanar de la Orden;45800;42;Calle Paz, Quintanar de la Orden
28000220008100024;Calle;Francisco de Goya;28;MADRID;Campo Real;28510;24;Calle Francisco de Goya, Campo Real
28000450376200082;Calle;Mayor;28;MADRID;Griñon;28971;82;Calle Mayor, Griñon
